bin,mean,std,count,sem,ci_lower,ci_upper
7740.0,33.0,,1,,,
7750.0,41.0,,1,,,
7760.0,37.0,,1,,,
7770.0,30.0,,1,,,
7780.0,57.0,,1,,,
7790.0,8.0,,1,,,
7800.0,70.0,,1,,,
7810.0,39.0,,1,,,
7820.0,23.0,,1,,,
7830.0,55.0,,1,,,
7840.0,53.0,,1,,,
7850.0,104.0,,1,,,
7860.0,60.0,,1,,,
7870.0,58.0,,1,,,
7880.0,46.0,,1,,,
7890.0,57.0,,1,,,
7900.0,19.0,,1,,,
7910.0,66.0,,1,,,
7920.0,34.0,,1,,,
7930.0,45.0,,1,,,
7940.0,79.0,,1,,,
7950.0,14.0,,1,,,
7960.0,25.0,,1,,,
7970.0,84.0,,1,,,
7980.0,50.0,,1,,,
7990.0,46.0,,1,,,
8000.0,23.0,,1,,,
8010.0,68.0,,1,,,
8020.0,74.0,,1,,,
8030.0,22.0,,1,,,
8040.0,47.0,,1,,,
8050.0,75.0,,1,,,
8060.0,23.0,,1,,,
8070.0,46.0,,1,,,
8080.0,30.0,,1,,,
8090.0,26.0,,1,,,
8100.0,30.0,,1,,,
8110.0,15.0,,1,,,
8120.0,29.0,,1,,,
8130.0,86.0,,1,,,
8140.0,20.0,,1,,,
8150.0,42.0,,1,,,
8160.0,53.0,,1,,,
8170.0,32.0,,1,,,
8180.0,70.0,,1,,,
8190.0,512.0,,1,,,
8200.0,358.0,,1,,,
8210.0,134.0,,1,,,
8220.0,239.0,,1,,,
8230.0,192.0,,1,,,
8240.0,150.0,,1,,,
8250.0,172.0,,1,,,
8260.0,207.0,,1,,,
8270.0,173.0,,1,,,
8280.0,156.0,,1,,,
8290.0,237.0,,1,,,
8300.0,249.0,,1,,,
8310.0,237.0,,1,,,
8320.0,241.0,,1,,,
8330.0,108.0,,1,,,
8340.0,170.0,,1,,,
8350.0,353.0,,1,,,
8360.0,97.0,,1,,,
8370.0,220.0,,1,,,
8380.0,169.0,,1,,,
8390.0,76.0,,1,,,
8400.0,235.0,,1,,,
8410.0,181.0,,1,,,
8420.0,156.0,,1,,,
8430.0,106.0,,1,,,
8440.0,137.0,,1,,,
8450.0,70.0,,1,,,
8460.0,165.0,,1,,,
8470.0,331.0,,1,,,
8480.0,133.0,,1,,,
8490.0,156.0,,1,,,
8500.0,217.0,,1,,,
8510.0,154.0,,1,,,
8520.0,159.0,,1,,,
8530.0,153.0,,1,,,
8540.0,272.0,,1,,,
8550.0,76.0,,1,,,
8560.0,277.0,,1,,,
8570.0,198.0,,1,,,
8580.0,122.0,,1,,,
8590.0,155.0,,1,,,
8600.0,134.0,,1,,,
8610.0,125.0,,1,,,
8620.0,190.0,,1,,,
8630.0,146.0,,1,,,
8640.0,118.0,,1,,,
8650.0,274.0,,1,,,
8660.0,120.0,,1,,,
8670.0,304.0,,1,,,
8680.0,120.0,,1,,,
8690.0,122.0,,1,,,
8700.0,202.0,,1,,,
8710.0,206.0,,1,,,
8720.0,122.0,,1,,,
8730.0,194.0,,1,,,
8740.0,162.0,,1,,,
8750.0,268.0,,1,,,
8760.0,170.0,,1,,,
8770.0,188.0,,1,,,
8780.0,115.0,,1,,,
8790.0,98.0,,1,,,
8800.0,63.0,,1,,,
8810.0,136.0,,1,,,
8820.0,60.0,,1,,,
8830.0,194.0,,1,,,
8840.0,116.0,,1,,,
8850.0,242.0,,1,,,
8860.0,98.0,,1,,,
8870.0,233.0,,1,,,
8880.0,142.0,,1,,,
8890.0,184.0,,1,,,
8900.0,152.0,,1,,,
8910.0,138.0,,1,,,
8920.0,117.0,,1,,,
8930.0,88.0,,1,,,
8940.0,119.0,,1,,,
8950.0,205.0,,1,,,
8960.0,55.0,,1,,,
8970.0,72.0,,1,,,
8980.0,67.0,,1,,,
8990.0,109.0,,1,,,
9000.0,84.0,,1,,,
9010.0,43.0,,1,,,
9020.0,49.0,,1,,,
9030.0,44.0,,1,,,
9040.0,37.0,,1,,,
9050.0,68.0,,1,,,
9060.0,60.0,,1,,,
9070.0,100.0,,1,,,
9080.0,39.0,,1,,,
9090.0,74.0,,1,,,
9100.0,116.0,,1,,,
9110.0,81.0,,1,,,
9120.0,40.0,,1,,,
9130.0,107.0,,1,,,
9140.0,99.0,,1,,,
9150.0,174.0,,1,,,
9160.0,84.0,,1,,,
9170.0,77.0,,1,,,
9180.0,76.0,,1,,,
9190.0,148.0,,1,,,
9200.0,150.0,,1,,,
9210.0,74.0,,1,,,
9220.0,98.0,,1,,,
9230.0,172.0,,1,,,
9240.0,109.0,,1,,,
9250.0,131.0,,1,,,
9260.0,94.0,,1,,,
9270.0,105.0,,1,,,
9280.0,89.0,,1,,,
9290.0,33.0,,1,,,
9300.0,26.0,,1,,,
9310.0,17.0,,1,,,
9320.0,27.0,,1,,,
9330.0,61.0,,1,,,
9340.0,72.0,,1,,,
9350.0,61.0,,1,,,
9360.0,91.0,,1,,,
9370.0,73.0,,1,,,
9380.0,64.0,,1,,,
9390.0,63.0,,1,,,
9400.0,81.0,,1,,,
9410.0,64.0,,1,,,
9420.0,77.0,,1,,,
9430.0,183.0,,1,,,
