bin,mean,std,count,sem,ci_lower,ci_upper
7740.0,21.0,,1,,,
7750.0,18.0,,1,,,
7760.0,11.0,,1,,,
7770.0,18.0,,1,,,
7780.0,13.0,,1,,,
7790.0,10.0,,1,,,
7800.0,17.0,,1,,,
7810.0,7.0,,1,,,
7820.0,9.0,,1,,,
7830.0,21.0,,1,,,
7840.0,18.0,,1,,,
7850.0,17.0,,1,,,
7860.0,8.0,,1,,,
7870.0,25.0,,1,,,
7880.0,18.0,,1,,,
7890.0,13.0,,1,,,
7900.0,3.0,,1,,,
7910.0,20.0,,1,,,
7920.0,14.0,,1,,,
7930.0,8.0,,1,,,
7940.0,30.0,,1,,,
7950.0,9.0,,1,,,
7960.0,8.0,,1,,,
7970.0,21.0,,1,,,
7980.0,19.0,,1,,,
7990.0,9.0,,1,,,
8000.0,12.0,,1,,,
8010.0,24.0,,1,,,
8020.0,16.0,,1,,,
8030.0,12.0,,1,,,
8040.0,18.0,,1,,,
8050.0,10.0,,1,,,
8060.0,4.0,,1,,,
8070.0,16.0,,1,,,
8080.0,7.0,,1,,,
8090.0,10.0,,1,,,
8100.0,18.0,,1,,,
8110.0,6.0,,1,,,
8120.0,14.0,,1,,,
8130.0,53.0,,1,,,
8140.0,19.0,,1,,,
8150.0,44.0,,1,,,
8160.0,39.0,,1,,,
8170.0,11.0,,1,,,
8180.0,53.0,,1,,,
8190.0,103.0,,1,,,
8200.0,64.0,,1,,,
8210.0,51.0,,1,,,
8220.0,41.0,,1,,,
8230.0,31.0,,1,,,
8240.0,34.0,,1,,,
8250.0,41.0,,1,,,
8260.0,45.0,,1,,,
8270.0,31.0,,1,,,
8280.0,33.0,,1,,,
8290.0,45.0,,1,,,
8300.0,61.0,,1,,,
8310.0,51.0,,1,,,
8320.0,56.0,,1,,,
8330.0,27.0,,1,,,
8340.0,60.0,,1,,,
8350.0,60.0,,1,,,
8360.0,26.0,,1,,,
8370.0,46.0,,1,,,
8380.0,30.0,,1,,,
8390.0,13.0,,1,,,
8400.0,37.0,,1,,,
8410.0,34.0,,1,,,
8420.0,38.0,,1,,,
8430.0,27.0,,1,,,
8440.0,21.0,,1,,,
8450.0,26.0,,1,,,
8460.0,22.0,,1,,,
8470.0,42.0,,1,,,
8480.0,29.0,,1,,,
8490.0,38.0,,1,,,
8500.0,46.0,,1,,,
8510.0,39.0,,1,,,
8520.0,33.0,,1,,,
8530.0,42.0,,1,,,
8540.0,54.0,,1,,,
8550.0,40.0,,1,,,
8560.0,54.0,,1,,,
8570.0,33.0,,1,,,
8580.0,26.0,,1,,,
8590.0,24.0,,1,,,
8600.0,36.0,,1,,,
8610.0,26.0,,1,,,
8620.0,40.0,,1,,,
8630.0,24.0,,1,,,
8640.0,31.0,,1,,,
8650.0,26.0,,1,,,
8660.0,34.0,,1,,,
8670.0,51.0,,1,,,
8680.0,19.0,,1,,,
8690.0,24.0,,1,,,
8700.0,35.0,,1,,,
8710.0,28.0,,1,,,
8720.0,20.0,,1,,,
8730.0,32.0,,1,,,
8740.0,26.0,,1,,,
8750.0,51.0,,1,,,
8760.0,34.0,,1,,,
8770.0,30.0,,1,,,
8780.0,15.0,,1,,,
8790.0,19.0,,1,,,
8800.0,12.0,,1,,,
8810.0,25.0,,1,,,
8820.0,19.0,,1,,,
8830.0,33.0,,1,,,
8840.0,21.0,,1,,,
8850.0,35.0,,1,,,
8860.0,24.0,,1,,,
8870.0,47.0,,1,,,
8880.0,23.0,,1,,,
8890.0,18.0,,1,,,
8900.0,46.0,,1,,,
8910.0,26.0,,1,,,
8920.0,21.0,,1,,,
8930.0,30.0,,1,,,
8940.0,21.0,,1,,,
8950.0,34.0,,1,,,
8960.0,15.0,,1,,,
8970.0,18.0,,1,,,
8980.0,17.0,,1,,,
8990.0,34.0,,1,,,
9000.0,17.0,,1,,,
9010.0,5.0,,1,,,
9020.0,11.0,,1,,,
9030.0,22.0,,1,,,
9040.0,14.0,,1,,,
9050.0,11.0,,1,,,
9060.0,8.0,,1,,,
9070.0,30.0,,1,,,
9080.0,13.0,,1,,,
9090.0,13.0,,1,,,
9100.0,17.0,,1,,,
9110.0,20.0,,1,,,
9120.0,21.0,,1,,,
9130.0,39.0,,1,,,
9140.0,50.0,,1,,,
9150.0,68.0,,1,,,
9160.0,26.0,,1,,,
9170.0,32.0,,1,,,
9180.0,37.0,,1,,,
9190.0,52.0,,1,,,
9200.0,61.0,,1,,,
9210.0,45.0,,1,,,
9220.0,34.0,,1,,,
9230.0,54.0,,1,,,
9240.0,51.0,,1,,,
9250.0,63.0,,1,,,
9260.0,32.0,,1,,,
9270.0,33.0,,1,,,
9280.0,53.0,,1,,,
9290.0,26.0,,1,,,
9300.0,32.0,,1,,,
9310.0,13.0,,1,,,
9320.0,18.0,,1,,,
9330.0,25.0,,1,,,
9340.0,32.0,,1,,,
9350.0,22.0,,1,,,
9360.0,38.0,,1,,,
9370.0,30.0,,1,,,
9380.0,126.0,,1,,,
9390.0,37.0,,1,,,
9400.0,37.0,,1,,,
9410.0,27.0,,1,,,
9420.0,36.0,,1,,,
9430.0,65.0,,1,,,
